arm,natural_hidden_pr_auc_mean,natural_hidden_pr_auc_std,natural_hidden_roc_auc_mean,natural_hidden_roc_auc_std,matched_hidden_pr_auc_mean,matched_hidden_pr_auc_std,matched_hidden_roc_auc_mean,matched_hidden_roc_auc_std,metadata_natural_pr_auc,metadata_natural_roc_auc,metadata_matched_pr_auc,metadata_matched_roc_auc,delta_pr_auc_natural,delta_pr_auc_matched,delta_roc_auc_natural,delta_roc_auc_matched
mathonly,0.47039800741228516,0.03022550134234485,0.7481843347988928,0.006034161370048842,0.7019756843068445,0.019141611811521,0.6935097668557025,0.00940550732296276,0.3353573464725548,0.6591499755740108,0.5519950792112414,0.5470321361058601,0.13504066093973038,0.14998060509560318,0.08903435922488201,0.14647763074984244
sizectrl,0.4578889424316737,0.0155053129981175,0.7430385930630191,0.0035636639374838327,0.6605066862855202,0.012330372891416674,0.6733459357277883,0.008975205555952671,0.3356506923521546,0.6603615046409379,0.5490409313835634,0.5421172022684309,0.1222382500795191,0.11146575490195687,0.08267708842208121,0.13122873345935748
sourcectrl,0.4561968592459847,0.004210943006930833,0.749806220485263,0.0010459952797861754,0.6779720599290332,0.002180450290841125,0.6966099558916193,0.00491512771659678,0.33440226810512325,0.656609672691744,0.5484187571503988,0.5407561436672969,0.12179459114086144,0.12955330277863442,0.09319654779351905,0.15585381222432249
lenmatched,0.40920821192298434,0.007430909274679034,0.7172056668295066,0.0042501558208324405,0.6211376187642977,0.004226603611503081,0.6205166981726528,0.00433734799435814,0.33278184479924394,0.6487542745481192,0.5382192171061819,0.5236672967863895,0.0764263671237404,0.08291840165811581,0.06845139228138741,0.0968494013862633
