view_key,view_label,natural_pr_auc_mean,natural_pr_auc_std,natural_roc_auc_mean,matched_pr_auc_mean,matched_pr_auc_std,matched_roc_auc_mean,matched_roc_auc_std,matched_bin_pr_auc_mean,delta_natural_pr_vs_meta,delta_natural_roc_vs_meta,delta_matched_pr_vs_meta,delta_matched_roc_vs_meta,delta_natural_pr_vs_round4_anchor,delta_natural_roc_vs_round4_anchor,delta_matched_pr_vs_round4_anchor,delta_matched_roc_vs_round4_anchor,delta_matched_bin_pr_vs_round4_anchor
anchor_plus_last16,anchor_plus_last16,0.4312620007082412,0.002974122791338639,0.7527373391955708,0.6500782119241276,0.001984137839400189,0.6859735349716446,0.001944039339460477,0.6533346608472637,0.09667773597683066,0.09604950333821871,0.10139030363501245,0.1451417769376181,0.013029965602353477,0.0024100309395864716,0.00847857614874592,0.005469439193446779,0.00393248318626882
anchor_plus_delta8,anchor_plus_delta8,0.42356955412273806,0.00403549615110093,0.7485816642240676,0.643775986540243,0.005672689327308075,0.6795967233774417,0.0057508359017844225,0.6470876277327782,0.0889852893913275,0.09189382836671545,0.09508807825112786,0.1387649653434152,0.005337519016850312,-0.0017456440319167932,0.0021763507648613345,-0.0009073724007561124,-0.0023145499282166693
anchor_plus_last16_delta8,anchor_plus_last16_delta8,0.4245587053323652,0.006068320936016097,0.7519622211366227,0.6375443825951075,0.008617032120431078,0.6767989918084435,0.005763746126705024,0.6342033456860224,0.08997444060095466,0.09527438527927057,0.0888564743059923,0.135967233774417,0.006326670226477482,0.0016349128806383284,-0.004055253180274221,-0.0037051039697543198,-0.015198831974972404
