arm_key,arm_label,selection_split,selection_metric,tie_breaker,natural_pr_auc_mean,natural_pr_auc_std,natural_roc_auc_mean,natural_bin_pr_auc_mean,matched_pr_auc_mean,matched_pr_auc_std,matched_roc_auc_mean,matched_bin_pr_auc_mean,delta_natural_pr_vs_anchor,delta_matched_pr_vs_anchor,delta_matched_bin_pr_vs_anchor,delta_matched_roc_vs_anchor,metadata_natural_pr_auc,metadata_matched_pr_auc
anchor,anchor,val,pr_auc,macro_f1,0.4137889604077927,0.0044837860337536535,0.7407262660804429,0.41483897756975896,0.6497834799789165,0.0052103268883484126,0.6836042848141147,0.6641199614393695,0.0,0.0,0.0,0.0,0.3337534060053631,0.5492952874085992
anchor_plus_last16,anchor_plus_last16,val,pr_auc,macro_f1,0.41763208142700137,0.001378949043966639,0.7512457254518807,0.3963058405634515,0.6417621301231391,0.0025462737263398827,0.6848645242596093,0.6348466921799935,0.0038431210192086396,-0.008021349855777404,-0.02927326925937601,0.001260239445494582,0.3337534060053631,0.5492952874085992
anchor_plus_last16_lowrank256,anchor_plus_last16_lowrank256,val,pr_auc,macro_f1,0.41512971538642157,0.00536791848398708,0.7486989089724801,0.4081274116187912,0.6452989688769801,0.006099576813089764,0.6867044738500315,0.6521348380301397,0.0013407549786288442,-0.004484511101936373,-0.011985123409229748,0.0031001890359168005,0.3337534060053631,0.5492952874085992
