view_key,view_label,natural_pr_auc_mean,natural_pr_auc_std,natural_roc_auc_mean,natural_roc_auc_std,natural_bin_pr_auc_mean,natural_bin_roc_auc_mean,matched_pr_auc_mean,matched_pr_auc_std,matched_roc_auc_mean,matched_roc_auc_std,matched_bin_pr_auc_mean,matched_bin_roc_auc_mean,delta_natural_pr_vs_meta,delta_natural_roc_vs_meta,delta_matched_pr_vs_meta,delta_matched_roc_vs_meta,metadata_natural_pr_auc,metadata_natural_roc_auc,metadata_matched_pr_auc,metadata_matched_roc_auc,delta_natural_pr_vs_anchor,delta_natural_roc_vs_anchor,delta_matched_pr_vs_anchor,delta_matched_roc_vs_anchor
prefill_lasttok_layers_concat,anchor_last_token_concat,0.41823203510588775,0.011406851427729337,0.7503273082559844,0.0029475520442659854,0.4179341642048168,0.6421703573503345,0.6415996357753817,0.016713861044499435,0.6805040957781978,0.013903451393330206,0.6494021776609948,0.6186482861830084,0.08364777037447718,0.09363947239863224,0.09291172748626653,0.13967233774417132,0.33458426473141056,0.6566878358573521,0.5486879082891152,0.5408317580340265,0.0,0.0,0.0,0.0
prefill_last16_layers_concat,boundary_last16_mean,0.4125142587837615,0.0011854359987125973,0.752099006676437,0.0009684691689103755,0.41282641010686644,0.6566774911616552,0.6213041517154894,0.0007110281111706957,0.6647511027095149,0.0021919473321988484,0.6334891803800751,0.6152021549699501,0.07792999405235096,0.0954111708190849,0.07261624342637418,0.12391934467548837,0.33458426473141056,0.6566878358573521,0.5486879082891152,0.5408317580340265,-0.005717776322126222,0.001771698420452661,-0.020295484059892344,-0.01575299306868294
prefill_delta8_layers_concat,boundary_delta8,0.40990184061902407,0.0032436574556006952,0.7458720078163165,0.0014363478625060906,0.3956900030111808,0.6463182145003873,0.6252875019699541,0.003636608715546468,0.6650031505986137,0.0019737136181929705,0.6170539745754099,0.6026831798316173,0.07531757588761351,0.08918417195896433,0.0765995936808389,0.1241713925645872,0.33458426473141056,0.6566878358573521,0.5486879082891152,0.5408317580340265,-0.008330194486863673,-0.0044553004396679086,-0.01631213380542762,-0.015500945179584114
prefill_last16_mid16_delta_layers_concat,late_vs_middle_delta,0.37017276258473775,0.0029078897548131463,0.7024328285295555,0.002679013282518957,0.38103851657659366,0.6257352583045265,0.6092335487837324,0.00496701532122803,0.6326402016383113,0.009719118249541825,0.6308885336866692,0.6085531603652264,0.03558849785332718,0.04574499267220333,0.06054564049461719,0.09180844360428475,0.33458426473141056,0.6566878358573521,0.5486879082891152,0.5408317580340265,-0.04805927252115,-0.04789447972642891,-0.032366086991649334,-0.047863894139886565
prefill_last16_delta8_layers_concat,boundary_last16_plus_delta8,0.411421020300277,0.0031881118184654915,0.7508809640123758,0.0018714665247692463,0.39686754783251627,0.6519854757107965,0.623014154685587,0.0015983521147639804,0.6665658475110271,0.0017413207762486949,0.6167398922673003,0.6060174370178711,0.07683675556886643,0.09419312815502368,0.07432624639647178,0.1257340894770006,0.33458426473141056,0.6566878358573521,0.5486879082891152,0.5408317580340265,-0.006811014805610749,0.0005536557563914357,-0.018585481089794742,-0.013938248267170716
